chengyu,mot_clef,literal_keyword_category,label_principal,labels_secondaires,label_final,labels,人生,冲动,分类,品格,外貌,态度,恐惧,情感,状态,社会,积累,能力,行为,言语,认知,评价,身体,道德
集腋成裘,腋,身体部位,积累/成就,行动;努力,积累,"['积累', '行为']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
巾帼须眉,须眉,身体部位/性别象征,社会身份/性别评价,能力;品格,社会,"['社会', '能力', '道德']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
须眉男子,须眉,身体部位/性别象征,社会身份/性别评价,品格;气概,社会,"['品格', '社会', '道德']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
须髯如戟,须髯,身体部位,外貌/形象,气概;威严,外貌,"['品格', '外貌']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
百口莫辨,口,身体部位,困境/无辩解能力,言语;表达,状态,"['状态', '言语']",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
笨嘴笨舌,嘴;舌,身体部位,能力不足/表达困难,言语;表达,能力,"['能力', '言语']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
闭口不言,口,身体部位,沉默/保密,言语;表达,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
赤口毒舌,口;舌,身体部位,言语/攻击性表达,道德负面;伤害,言语,"['言语', '道德']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
冲口而出,口,身体部位,冲动/失控,言语;表达,冲动,"['冲动', '言语']",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
出口成章,口,身体部位,言语/表达能力,才华;文采,言语,"['能力', '言语']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
出口伤人,口,身体部位,言语/攻击性表达,伤害;道德负面,言语,"['言语', '道德']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
大饱口福,口,身体部位,身体/感官体验,饮食;享受,身体,['身体'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
杜口裹足,口;足,身体部位,恐惧/困境,沉默;不行动,恐惧,"['恐惧', '言语']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
多嘴多舌,嘴;舌,身体部位,言语/表达,多话;失言;社会负面评价,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
反咬一口,口,身体部位,道德/品格,背叛;忘恩负义,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
风口浪尖,口,身体部位,危险/困境,舆论;社会压力,状态,['状态'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
祸从口出,口,身体部位,言语/表达,危险;后果;谨慎,言语,"['状态', '言语']",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
