expression,mot_clef,literal_keyword_category,label_principal,labels_secondaires,justification,source_label,label_main,label_final,labels,occurrence_count,files
à bras ouverts,bras,partie du corps,accueil/chaleur humaine,hospitalité; affection,exprime un accueil chaleureux,artificial,accueil,social,"['autre', 'social', 'émotion']",1,chunk_01.txt
en chair et en os,chair,partie du corps,présence réelle,matérialité; existence,désigne une personne physiquement présente et réelle,artificial,présence réelle,présence réelle,['autre'],3,chunk_20.txt; chunk_34.txt
connaître par cœur,cœur,partie du corps,mémoire,apprentissage; maîtrise,désigne une connaissance parfaite et mémorisée,artificial,mémoire,cognition,"['autre', 'capacité', 'cognition']",1,chunk_38.txt
de bon cœur,cœur,partie du corps,bonne volonté,générosité; sincérité,désigne une action faite avec plaisir et sincérité,artificial,bonne volonté,morale,['morale'],1,chunk_46.txt
en avoir le cœur net,cœur,partie du corps,certitude,vérification; clarification,désigne le fait de vouloir connaître la vérité,artificial,certitude,cognition,"['autre', 'cognition']",1,chunk_02.txt
corps et âme,corps,partie du corps,engagement total,dévouement; sincérité,désigne un investissement complet et sincère,artificial,engagement total,comportement,"['autre', 'comportement', 'morale']",3,chunk_10.txt; chunk_14.txt; chunk_49.txt
à visage découvert,visage,partie du corps,franchise,transparence; honnêteté,désigne une action réalisée ouvertement et sans se cacher,artificial,franchise,langage,"['autre', 'langage']",2,chunk_12.txt; chunk_19.txt
avoir la main,main,partie du corps,contrôle/avantage,habitude; supériorité,désigne le fait d’avoir l’avantage ou l’habitude dans une activité,artificial,contrôle,social,"['autre', 'social']",1,chunk_27.txt
de main de maître,main,partie du corps,maîtrise,perfection; expertise,désigne une action réalisée avec une grande compétence,artificial,maîtrise,capacité,"['autre', 'capacité']",1,chunk_03.txt
demander la main de,main,partie du corps,mariage,union; engagement,désigne une demande officielle en mariage,artificial,mariage,social,"['autre', 'social']",1,chunk_05.txt
de première main,main,partie du corps,source directe,authenticité; fiabilité,désigne une information obtenue directement à la source,artificial,source directe,source directe,['autre'],14,chunk_01.txt; chunk_02.txt; chunk_10.txt; chunk_23.txt; chunk_36.txt; chunk_38.txt; chunk_40.txt; chunk_48.txt; chunk_49.txt
donner un coup de main,main,partie du corps,aide,soutien; coopération,désigne le fait d’aider quelqu’un,artificial,aide,aide,"['autre', 'social']",1,chunk_40.txt
haut la main,main,partie du corps,succès facile,victoire; supériorité,désigne une réussite facile et nette,artificial,succès facile,succès facile,['autre'],2,chunk_35.txt
prêter main-forte,main,partie du corps,aide,soutien; assistance,désigne le fait d’aider efficacement quelqu’un,artificial,aide,aide,"['autre', 'social']",1,chunk_05.txt
à l’œil,œil,partie du corps,gratuité,approximation; informalité,désigne quelque chose obtenu gratuitement ou sans mesure précise,artificial,gratuité,quantité_valeur,"['autre', 'quantité_valeur']",70,chunk_01.txt; chunk_02.txt; chunk_03.txt; chunk_04.txt; chunk_05.txt; chunk_11.txt; chunk_14.txt; chunk_16.txt; chunk_18.txt; chunk_20.txt; chunk_21.txt; chunk_22.txt; chunk_23.txt; chunk_25.txt; chunk_26.txt; chunk_27.txt; chunk_28.txt; chunk_29.txt; chunk_30.txt; chunk_31.txt; chunk_32.txt; chunk_33.txt; chunk_35.txt; chunk_36.txt; chunk_38.txt; chunk_39.txt; chunk_41.txt; chunk_42.txt; chunk_43.txt; chunk_44.txt; chunk_45.txt; chunk_46.txt; chunk_49.txt; chunk_50.txt
du coin de l’œil,œil,partie du corps,observation discrète,surveillance; attention,désigne un regard furtif ou discret,artificial,observation discrète,cognition,"['autre', 'cognition']",1,chunk_15.txt
en un clin d’œil,œil,partie du corps,rapidité,instantanéité; vitesse,désigne quelque chose de très rapide,artificial,rapidité,temps_espace,"['autre', 'temps_espace']",1,chunk_22.txt
les yeux fermés,yeux,partie du corps,confiance,habitude; certitude,désigne une action réalisée sans hésitation ou avec confiance,artificial,confiance,confiance,"['autre', 'cognition']",15,chunk_06.txt; chunk_09.txt; chunk_13.txt; chunk_19.txt; chunk_20.txt; chunk_30.txt; chunk_35.txt; chunk_38.txt; chunk_44.txt; chunk_50.txt
mon œil,œil,partie du corps,incrédulité,moquerie; refus,désigne une expression de doute ou de refus de croire,artificial,incrédulité,cognition,"['autre', 'cognition', 'comportement']",1,chunk_47.txt
pour les beaux yeux de,yeux,partie du corps,affection,séduction; motivation,désigne une action faite par amour ou admiration,artificial,affection,émotion,"['autre', 'émotion']",1,chunk_41.txt
un œil au beurre noir,œil,partie du corps,blessure,violence; hématome,désigne un œil marqué par un coup,artificial,blessure,état_physique,"['autre', 'état_physique']",1,chunk_34.txt
voir à l’œil nu,œil,partie du corps,perception directe,visibilité; observation,désigne quelque chose visible sans instrument,artificial,perception directe,perception directe,"['autre', 'cognition']",1,chunk_39.txt
