chengyu,mot_clef,literal_keyword_category,label_principal,labels_secondaires,justification,source_label
,,,,,,
集腋成裘,腋,身体部位,积累/成就,行动;努力,表示通过一点点积累取得成果（积少成多），不是身体部位语义,artificial
,,,,,,
巾帼须眉,须眉,身体部位/性别象征,社会身份/性别评价,能力;品格,表示女性具有男子气概，核心是性别与能力评价，而非身体特征,artificial
,,,,,,
须眉男子,须眉,身体部位/性别象征,社会身份/性别评价,品格;气概,指真正有担当的男子，强调社会角色与品格，而非外貌描写,artificial
,,,,,,
须髯如戟,须髯,身体部位,外貌/形象,气概;威严,描写胡须如戟般挺立，突出威武形象，主要是外貌描写及气势,artificial
,,,,,,
百口莫辨,口,身体部位,困境/无辩解能力,言语;表达,表示处于无法为自己辩解的处境，核心是困境，而不是“说话”行为,artificial
,,,,,,
笨嘴笨舌,嘴;舌,身体部位,能力不足/表达困难,言语;表达,表示说话能力差、不善表达，核心是能力问题，而非器官本身,artificial
,,,,,,
闭口不言,口,身体部位,沉默/保密,言语;表达,表示保持沉默、不说话，核心是行为状态，而不是语言行为本身,artificial
,,,,,,
赤口毒舌,口;舌,身体部位,言语/攻击性表达,道德负面;伤害,表示说话尖刻恶毒，属于语言攻击行为，而非器官意义,artificial
,,,,,,
冲口而出,口,身体部位,冲动/失控,言语;表达,表示不加思考脱口而出，核心是行为冲动性，而不是说话本身,artificial
,,,,,,
出口成章,口,身体部位,言语/表达能力,才华;文采,表示说话流畅且有文采，核心是语言能力，而非“口”这一器官,artificial
,,,,,,
出口伤人,口,身体部位,言语/攻击性表达,伤害;道德负面,表示用语言伤害他人，核心是攻击性言语，而不是身体器官,artificial
,,,,,,
大饱口福,口,身体部位,身体/感官体验,饮食;享受,表示享受美食带来的满足感，核心是感官体验，而不是言语或器官本身,artificial
,,,,,,
杜口裹足,口;足,身体部位,恐惧/困境,沉默;不行动,表示因害怕而不敢说话也不敢行动，核心是恐惧导致的行为受限，而非身体器官,artificial
,,,,,,
多嘴多舌,嘴;舌,身体部位,言语/表达,多话;失言;社会负面评价,表示话太多、爱插嘴，属于言语行为的负面评价，而非器官意义,artificial
,,,,,,
反咬一口,口,身体部位,道德/品格,背叛;忘恩负义,表示反过来伤害或诬陷帮助自己的人，核心是道德评价，而非“咬”的字面动作,artificial
,,,,,,
