expression,mot_clef,literal_keyword_category,label_principal,labels_secondaires,label_main,label_final,labels,alimentation,apparence,autre,capacité,cognition,comportement,désir,langage,morale,problème,quantité_valeur,social,temps_espace,émotion,état_physique
faire la barbe à quelqu'un,barbe,partie du corps,compétition/domination,victoire; pouvoir,compétition,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
rire dans sa barbe,barbe,partie du corps,moquerie discrète,ironie; dissimulation,moquerie discrète,moquerie discrète,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir la gueule enfarinée,gueule,partie du corps,naïveté/apparence,innocence feinte; surprise,naïveté,naïveté,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
avoir la gueule de bois,gueule,partie du corps,état physique négatif,fatigue; alcool,état physique négatif,état_physique,"['autre', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
avoir l’eau à la bouche,bouche,partie du corps,désir/envie,gourmandise; anticipation,désir,désir,"['autre', 'désir']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
être né avec une cuillère d’argent dans la bouche,bouche,partie du corps,privilège social,richesse; naissance,privilège social,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
faire la fine bouche,bouche,partie du corps,attitude difficile,exigence; refus,attitude difficile,attitude difficile,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
garder bouche cousue,bouche,partie du corps,silence/confidentialité,secret; retenue,silence,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
la bouche en cœur,bouche,partie du corps,attitude affectée,innocence feinte; séduction,attitude affectée,attitude affectée,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
la bouche en cul de poule,bouche,partie du corps,expression faciale,mécontentement; affectation,expression faciale,apparence,"['apparence', 'autre', 'émotion']",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
