expression,label_cls
faire la barbe à quelqu'un,social
rire dans sa barbe,autre
avoir la gueule enfarinée,émotion
avoir la gueule de bois,état_physique
avoir l’eau à la bouche,désir
être né avec une cuillère d’argent dans la bouche,social
faire la fine bouche,comportement
garder bouche cousue,langage
la bouche en cœur,autre
la bouche en cul de poule,apparence
retirer le pain de la bouche à quelqu’un,autre
à bras ouverts,social
avoir le bras long,social
avoir quelqu’un sur les bras,autre
être dans les bras de Morphée,autre
être le bras droit de quelqu’un,autre
faire un bras d’honneur,langage
jouer les gros bras,autre
les bras m’en tombent,émotion
se croiser les bras,autre
tenir à bout de bras,comportement
bien en chair,apparence
en chair et en os,autre
arriver comme un cheveu sur la soupe,capacité
avoir mal aux cheveux,état_physique
avoir les cheveux en bataille,apparence
avoir un cheveu sur la langue,capacité
couper les cheveux en quatre,problème
être à un cheveu de,problème
ne tenir qu’à un cheveu,autre
s’arracher les cheveux,émotion
saisir l’occasion par les cheveux,autre
se crêper le chignon,social
se faire des cheveux blancs,émotion
tirer par les cheveux,quantité_valeur
avoir l’âme chevillée au corps,comportement
avoir les chevilles qui enflent,morale
être la cheville ouvrière,autre
être en cheville avec quelqu’un,social
ne pas remuer un cil,autre
rire à s’en tenir les côtes,autre
laisser la bride sur le cou de quelqu’un,autre
sauter au cou de quelqu’un,social
se jeter au cou,émotion
se mettre la corde au cou,comportement
tordre le cou à une idée,langage
avoir des couilles au cul,morale
casser les couilles à quelqu’un,émotion
partir en couilles,problème
se faire des couilles en or,quantité_valeur
être au coude à coude,social
garder sous le coude,autre
huile de coude,comportement
jouer des coudes,social
lever le coude,alimentation
se tenir les coudes,social
aller droit au cœur,émotion
arracher le cœur,émotion
avoir bon cœur,morale
avoir du cœur,morale
avoir le cœur barbouillé,émotion
avoir le cœur au bord des lèvres,émotion
avoir du cœur à l’ouvrage,comportement
avoir une pierre à la place du cœur,autre
avoir le cœur bien accroché,morale
avoir le cœur gros,émotion
avoir le cœur sur la main,morale
avoir mal au cœur,émotion
prendre quelque chose à cœur,émotion
avoir quelque chose sur le cœur,langage
connaître par cœur,capacité
de bon cœur,morale
donner du cœur au ventre,morale
en avoir gros sur le cœur,émotion
en avoir le cœur net,cognition
enfoncer un couteau dans le cœur,morale
être de tout cœur avec quelqu’un,social
être joli comme un cœur,apparence
faire battre le cœur,émotion
faire chaud au cœur,autre
faire contre mauvaise fortune bon cœur,morale
faire le joli cœur,autre
le cri du cœur,morale
lever le cœur,émotion
ne pas avoir le cœur de faire quelque chose,émotion
ne pas porter quelqu’un dans son cœur,autre
offrir son cœur,émotion
ouvrir son cœur,langage
réchauffer le cœur de quelqu’un,émotion
retourner le cœur,émotion
s’en donner à cœur joie,émotion
serrer le cœur,émotion
si le cœur vous en dit,désir
un bourreau des cœurs,autre
un cœur de pierre,autre
un cœur d’or,morale
un homme de cœur,morale
un coup de cœur,désir
une peine de cœur,émotion
y aller de bon cœur,morale
avoir le diable au corps,désir
corps et âme,comportement
couler corps et biens,problème
pleurer toutes les larmes de son corps,émotion
travailler quelqu’un au corps,langage
avoir la cuisse légère,autre
se croire sorti de la cuisse de Jupiter,morale
avoir la dalle,désir
crever la dalle,état_physique
se rincer la dalle,alimentation
avoir la dalle en pente,alimentation
avoir les crocs,désir
avoir une dent contre quelqu’un,émotion
avoir la dent dure,autre
avoir les dents du bonheur,apparence
avoir les dents longues,désir
avoir quelque chose à se mettre sous la dent,alimentation
claquer des dents,état_physique
creuser sa tombe avec ses dents,alimentation
croquer à belles dents,désir
dévorer la vie à belles dents,émotion
déchirer quelqu’un à belles dents,langage
être armé jusqu’aux dents,comportement
grincer des dents,émotion
mentir comme un arracheur de dents,quantité_valeur
montrer les dents,problème
ne pas desserrer les dents,langage
prendre la lune avec les dents,cognition
prendre le mors aux dents,autre
se casser les dents sur quelque chose,problème
serrer les dents,capacité
avoir des doigts de fée,capacité
à se lécher les doigts,alimentation
connaître sur le bout des doigts,capacité
croiser les doigts,émotion
être à deux doigts de,problème
il s’en est fallu d’un doigt,temps_espace
les doigts dans le nez,autre
mettre le doigt dans l’engrenage,comportement
mettre le doigt entre l’arbre et l’écorce,social
mettre le doigt sur la plaie,autre
mettre le doigt sur quelque chose,autre
mon petit doigt m’a dit,autre
ne pas lever le petit doigt,comportement
ne rien savoir faire de ses dix doigts,capacité
obéir au doigt et à l’œil,autre
passer la bague au doigt,social
s’en mordre les doigts,émotion
se faire montrer du doigt,social
se faire taper sur les doigts,langage
se mettre le doigt dans l’œil,cognition
avoir bon dos,autre
avoir le dos large,autre
casser du sucre sur le dos de quelqu’un,langage
derrière le dos de quelqu’un,morale
en avoir plein le dos,émotion
être le dos au mur,problème
être sur le dos de quelqu’un,social
faire froid dans le dos,émotion
faire la bête à deux dos,autre
faire le dos rond,autre
faire le gros dos,autre
faire un enfant dans le dos de quelqu’un,morale
mettre quelque chose sur le dos de quelqu’un,autre
renvoyer dos à dos,social
se laisser tondre la laine sur le dos,autre
se mettre quelqu’un à dos,social
tourner le dos à quelqu’un,autre
courber l’échine,social
avoir l’échine basse,social
avoir les épaules larges,capacité
avoir les épaules solides,comportement
avoir l’estomac dans les talons,état_physique
avoir un creux à l’estomac,état_physique
avoir un estomac d’autruche,autre
avoir l’estomac bien accroché,morale
le faire à l’estomac,autre
rester sur l’estomac,émotion
à visage découvert,langage
avoir une mine de papier mâché,apparence
se caler les joues,alimentation
se voiler la face,cognition
une face de carême,émotion
une mine de déterré,apparence
un visage en lame de couteau,apparence
avoir du cul,autre
en avoir plein le cul,émotion
faire cul sec,alimentation
l’avoir dans le cul,problème
lécher le cul,morale
péter plus haut que son cul,autre
poser ses fesses,autre
se casser le cul,comportement
se geler les fesses,état_physique
s’occuper de son cul,autre
serrer les fesses,émotion
se taper le cul par terre,autre
tomber sur le cul,émotion
un faux cul,morale
être sur le flanc,état_physique
tirer au flanc,comportement
gagner son pain à la sueur de son front,comportement
avoir les foies,émotion
être sur les genoux,état_physique
faire du genou,autre
mettre le couteau sous la gorge,problème
rester en travers de la gorge,émotion
rire à gorge déployée,autre
à toutes jambes,temps_espace
avoir les jambes en marmelade,état_physique
ça fait une belle jambe,autre
faire des ronds de jambe,social
faire quelque chose par-dessus la jambe,comportement
prendre ses jambes à son cou,comportement
tenir la jambe à quelqu’un,autre
tirer dans les jambes,autre
un pansement sur une jambe de bois,autre
une partie de jambes en l’air,émotion
avoir la langue bien pendue,langage
avoir un mot sur le bout de la langue,cognition
être mauvaise langue,langage
manier la langue de bois,langage
ne pas avoir la langue dans sa poche,langage
se mordre la langue,autre
tenir sa langue,langage
du bout des lèvres,autre
se lécher les babines,désir
avoir deux mains gauches,capacité
avoir la main,social
avoir la main lourde,quantité_valeur
avoir les mains baladeuses,autre
avoir les mains liées,problème
avoir perdu la main,capacité
avoir quelque chose en main,comportement
avoir un poil dans la main,comportement
de main de maître,capacité
demander la main de,social
de première main,autre
donner un coup de main,social
en mettre sa main à couper,cognition
en venir aux mains,autre
entre bonnes mains,autre
en un tour de main,temps_espace
être comme les doigts de la main,social
être entre de bonnes mains,autre
faire des pieds et des mains,comportement
forcer la main à quelqu’un,autre
haut la main,autre
mettre la main à la pâte,comportement
mettre sa main au feu,cognition
mettre la main au collet de quelqu’un,social
ne pas y aller de main morte,quantité_valeur
passer la main à quelqu’un,autre
passer la main dans le dos de quelqu’un,social
pouvoir se compter sur les doigts d’une main,autre
préférer se couper la main plutôt que de,comportement
prendre en main quelque chose,social
prendre quelqu’un la main dans le sac,autre
prendre son courage à deux mains,comportement
prêter main-forte,social
s’en laver les mains,autre
se faire la main,autre
se frotter les mains,émotion
venir les mains dans les poches,comportement
avoir le menton en galoche,apparence
avoir les nerfs en pelote,émotion
être à bout de nerfs,émotion
taper sur les nerfs,émotion
à vue de nez,autre
avoir un verre dans le nez,alimentation
avoir un nez en trompette,apparence
avoir quelqu’un dans le nez,autre
avoir du nez,cognition
avoir sous le nez,temps_espace
faire un pied de nez,autre
la moutarde monte au nez,émotion
mener par le bout du nez,social
mettre le nez dehors,comportement
mettre son nez quelque part,désir
montrer le bout de son nez,autre
ne pas lever le nez,cognition
ne pas voir plus loin que le bout de son nez,autre
parler du nez,langage
passer sous le nez de quelqu’un,problème
prendre au nez,autre
prendre quelqu’un de nez,autre
se casser le nez,problème
se manger le nez,social
se piquer le nez,alimentation
se voir comme le nez au milieu de la figure,autre
sortir par les trous du nez,émotion
retomber sur le nez de quelqu’un,problème
tomber nez à nez avec quelqu’un,émotion
ton nez remue,cognition
avoir les ongles en deuil,apparence
payer rubis sur l’ongle,autre
se défendre bec et ongles,comportement
avoir de l’oreille,capacité
avoir des oreilles en feuilles de chou,apparence
avoir la puce à l’oreille,cognition
avoir les oreilles qui sifflent,social
casser les oreilles à quelqu’un,émotion
de bouche à oreille,langage
dormir sur ses deux oreilles,autre
échauffer les oreilles de quelqu’un,langage
entrer par une oreille et sortir par l’autre,cognition
être dur d’oreille,autre
faire la sourde oreille,cognition
l’oreille aux aguets,cognition
n’écouter que d’une oreille,cognition
ne pas l’entendre de cette oreille,comportement
ne pas tomber dans l’oreille d’un sourd,social
rebattre les oreilles,autre
se faire tirer l’oreille,temps_espace
tendre l’oreille,cognition
à l’œil,quantité_valeur
avoir des yeux de lynx,autre
avoir le compas dans l’œil,capacité
avoir l’œil,autre
avoir les yeux plus grands que le ventre,désir
avoir un bandeau sur les yeux,cognition
avoir une coquetterie dans l’œil,apparence
c’est de la poudre aux yeux,apparence
coûter les yeux de la tête,quantité_valeur
crever les yeux,autre
des yeux de merlan frit,apparence
des yeux en boules de loto,émotion
du coin de l’œil,cognition
en un clin d’œil,temps_espace
faire de l’œil,autre
faire les gros yeux à quelqu’un,langage
faire les yeux doux à,autre
faire quelque chose à l’œil,quantité_valeur
jeter un coup d’œil,cognition
les écailles lui tombent des yeux,cognition
les yeux fermés,cognition
l’œil aux aguets,cognition
manger des yeux,désir
mon œil,cognition
mener quelqu’un au doigt et à l’œil,social
ne dormir que d’un œil,émotion
ne pas avoir froid aux yeux,morale
ne pas avoir les yeux dans sa poche,cognition
ne pas avoir les yeux en face des trous,capacité
ne pas en croire ses yeux,cognition
ne pas fermer l’œil,émotion
ne plus avoir que ses yeux pour pleurer,problème
ouvrir les yeux à quelqu’un sur quelque chose,cognition
pour les beaux yeux de,émotion
regarder d’un œil noir,émotion
regarder d’un œil critique,cognition
se rincer l’œil,désir
sortir par les yeux,émotion
taper dans l’œil,autre
tenir quelque chose comme à la prunelle de ses yeux,quantité_valeur
tourner de l’œil,état_physique
un œil au beurre noir,état_physique
valoir le coup d’œil,apparence
voir à l’œil nu,cognition
les orteils en éventail,comportement
être un squelette ambulant,apparence
être un tas d’os,apparence
l’avoir dans l’os,problème
tomber sur un os,problème
à fleur de peau,émotion
avoir la peau de quelqu’un,autre
avoir la peau dure,capacité
avoir les nerfs à fleur de peau,émotion
avoir quelqu’un dans la peau,désir
coûter la peau des fesses,quantité_valeur
changer de peau,autre
être bien dans sa peau,état_physique
être mal dans sa peau,émotion
faire la peau à quelqu’un,autre
faire peau neuve,autre
n’avoir que la peau et les os,apparence
se mettre dans la peau de quelqu’un,autre
une vieille peau,langage
une culotte de peau,autre
une peau de vache,morale
attendre quelqu’un de pied ferme,comportement
avoir bon pied bon œil,état_physique
avoir un pied dans la tombe,état_physique
ça ne se trouve pas sous le pied d’un cheval,problème
casser les pieds à quelqu’un,émotion
conduire le pied au plancher,quantité_valeur
couper l’herbe sous les pieds,émotion
